Date,TotalUsageTime,User
2019-05-10,72,P0706
2019-05-11,0,P0706
2019-05-12,0,P0706
2019-05-13,132,P0706
2019-05-14,668,P0706
2019-05-08,437,P0702
2019-05-09,686,P0702
2019-05-10,202,P0702
2019-05-11,262,P0702
2019-05-12,1143,P0702
2019-05-13,564,P0702
2019-05-14,413,P0702
2019-05-16,179,P1508
2019-05-17,489,P1508
2019-05-18,203,P1508
2019-05-19,142,P1508
2019-05-20,411,P1508
2019-05-21,484,P1508
2019-05-22,182,P1508
2019-05-08,7,P0701
2019-05-09,46,P0701
2019-05-10,35,P0701
2019-05-11,51,P0701
2019-05-12,40,P0701
2019-05-13,6,P0701
2019-05-14,277,P0701
2019-05-16,651,P1505
2019-05-17,658,P1505
2019-05-18,1163,P1505
2019-05-19,749,P1505
2019-05-20,412,P1505
2019-05-21,461,P1505
2019-05-22,989,P1505
2019-05-16,781,P1506
2019-05-17,598,P1506
2019-05-18,1277,P1506
2019-05-19,890,P1506
2019-05-20,1794,P1506
2019-05-21,1001,P1506
2019-05-22,758,P1506
2019-05-16,957,P1511
2019-05-17,1443,P1511
2019-05-18,895,P1511
2019-05-19,1287,P1511
2019-05-20,977,P1511
2019-05-21,1152,P1511
2019-05-22,1266,P1511
2019-05-16,1297,P1507
2019-05-17,667,P1507
2019-05-18,1504,P1507
2019-05-19,1565,P1507
2019-05-20,881,P1507
2019-05-21,1288,P1507
2019-05-22,727,P1507
2019-05-16,217,P1510
2019-05-17,1385,P1510
2019-05-18,1015,P1510
2019-05-19,1236,P1510
2019-05-20,1152,P1510
2019-05-21,1117,P1510
2019-05-22,515,P1510
2019-05-08,137,P0709
2019-05-09,637,P0709
2019-05-10,914,P0709
2019-05-11,1040,P0709
2019-05-12,1612,P0709
2019-05-13,802,P0709
2019-05-14,939,P0709
2019-05-08,425,P0707
2019-05-09,431,P0707
2019-05-10,1070,P0707
2019-05-11,572,P0707
2019-05-12,733,P0707
2019-05-13,345,P0707
2019-05-14,828,P0707
2019-05-16,1330,P1525
2019-05-17,859,P1525
2019-05-18,1278,P1525
2019-05-19,1739,P1525
2019-05-20,1400,P1525
2019-05-21,1321,P1525
2019-05-22,1341,P1525
2019-05-16,517,P1514
2019-05-17,527,P1514
2019-05-18,85,P1514
2019-05-19,430,P1514
2019-05-20,132,P1514
2019-05-21,120,P1514
2019-05-22,37,P1514
2019-05-16,512,P1509
2019-05-17,775,P1509
2019-05-18,528,P1509
2019-05-19,758,P1509
2019-05-20,794,P1509
2019-05-21,635,P1509
2019-05-22,375,P1509
2019-05-16,0,P1526
2019-05-17,1,P1526
2019-05-18,3,P1526
2019-05-19,0,P1526
2019-05-20,2,P1526
2019-05-21,9,P1526
2019-05-22,20,P1526
2019-05-08,1256,P0710
2019-05-09,1346,P0710
2019-05-10,938,P0710
2019-05-11,1162,P0710
2019-05-12,1538,P0710
2019-05-13,1487,P0710
2019-05-14,542,P0710
2019-05-08,322,P0713
2019-05-09,663,P0713
2019-05-10,199,P0713
2019-05-11,784,P0713
2019-05-12,960,P0713
2019-05-13,696,P0713
2019-05-14,471,P0713
2019-05-16,234,P1521
2019-05-17,422,P1521
2019-05-18,303,P1521
2019-05-19,411,P1521
2019-05-20,327,P1521
2019-05-21,607,P1521
2019-05-22,661,P1521
2019-05-16,716,P1527
2019-05-17,1193,P1527
2019-05-18,998,P1527
2019-05-19,660,P1527
2019-05-20,930,P1527
2019-05-21,915,P1527
2019-05-22,1423,P1527
2019-05-08,753,P0712
2019-05-09,742,P0712
2019-05-10,476,P0712
2019-05-11,929,P0712
2019-05-12,1192,P0712
2019-05-13,983,P0712
2019-05-14,635,P0712
2019-05-08,704,P0715
2019-05-09,42,P0715
2019-05-10,1088,P0715
2019-05-11,342,P0715
2019-05-12,205,P0715
2019-05-13,465,P0715
2019-05-14,346,P0715
2019-05-08,481,P0716
2019-05-09,292,P0716
2019-05-10,43,P0716
2019-05-11,1020,P0716
2019-05-12,545,P0716
2019-05-13,713,P0716
2019-05-14,347,P0716
2019-05-16,945,P1541
2019-05-17,776,P1541
2019-05-18,1271,P1541
2019-05-19,690,P1541
2019-05-20,1511,P1541
2019-05-21,1074,P1541
2019-05-22,1030,P1541
2019-05-16,1384,P1515
2019-05-17,1410,P1515
2019-05-18,1209,P1515
2019-05-19,1274,P1515
2019-05-20,1417,P1515
2019-05-21,1542,P1515
2019-05-22,1185,P1515
2019-05-16,511,P1519
2019-05-17,541,P1519
2019-05-18,838,P1519
2019-05-19,744,P1519
2019-05-20,955,P1519
2019-05-21,497,P1519
2019-05-22,759,P1519
2019-05-16,401,P1516
2019-05-17,659,P1516
2019-05-18,632,P1516
2019-05-19,860,P1516
2019-05-20,976,P1516
2019-05-21,693,P1516
2019-05-22,534,P1516
2019-05-16,714,P1517
2019-05-17,174,P1517
2019-05-18,287,P1517
2019-05-19,539,P1517
2019-05-20,1008,P1517
2019-05-21,368,P1517
2019-05-22,967,P1517
2019-05-16,1173,P1522
2019-05-17,1273,P1522
2019-05-18,1478,P1522
2019-05-19,1388,P1522
2019-05-20,1382,P1522
2019-05-21,1385,P1522
2019-05-22,1195,P1522
2019-05-16,1195,P1518
2019-05-17,1000,P1518
2019-05-18,1289,P1518
2019-05-19,1881,P1518
2019-05-20,1144,P1518
2019-05-21,1559,P1518
2019-05-22,1083,P1518
2019-05-16,795,P1523
2019-05-17,1372,P1523
2019-05-18,1566,P1523
2019-05-19,1141,P1523
2019-05-20,1302,P1523
2019-05-21,1346,P1523
2019-05-22,1785,P1523
2019-05-16,608,P1520
2019-05-17,124,P1520
2019-05-18,181,P1520
2019-05-19,238,P1520
2019-05-20,824,P1520
2019-05-21,1608,P1520
2019-05-22,898,P1520
